"","TripID","Date","Country","Site","Latitude","Longitude","Observer","Fisher","TotalCrew","TrapsOwned","TrapsFished","TrapLocation","Depth_m","SoakTime_Days","TrapType","GapSize_cm","BrowserMass_g","BrowserMassRatio","ScraperMass_g","ScraperMassRatio","GrazerMass_g","GrazerMassRatio","TotalCatch_g","CPUE_kgPerTrap","TotalValue_KSH","ValuePUE","TotalCa_mg","CaPUE","TotalFe_mg","FePUE","TotalVA_ug","VAPUE","TotalSe_ug","SePUE","TotalZn_ug","ZnPUE"
"1","OCTSZ9928H","2010-10-27","Kenya","Bamburi","-4.02602","39.73455","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","10","Traditional","0",0,0,0,0,0,0,80,0.0266666666666667,6.4,2.13333333333333,76.5841878547595,25.5280626182532,0.656869795361965,0.218956598453988,26.7218863192196,8.90729543973987,27.0436813992979,9.01456046643264,0.946631315445752,0.315543771815251
"2","UGUJL9300S","2010-10-28","Kenya","Bamburi","-4.02309","39.73429","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",3915,0.5,0,0,0,0,7830,2.61,238.2,79.4,554.984179398103,184.994726466034,10.8690936928417,3.62303123094723,675.270312835669,225.090104278556,353.708429680866,117.902809893622,20.6081116933942,6.86937056446474
"3","JAFFZ0809B","2010-10-30","Kenya","Bamburi","-4.02309","39.73455","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple",36720,0.625,0,0,0,0,58752,19.584,675.36,225.12,1797.59517682054,599.198392273512,34.4852779438224,11.4950926479408,1265.62231507301,421.874105024336,936.503514752871,312.167838250957,64.7499868689817,21.5833289563272
"4","DBSBA2583A","2010-10-31","Kenya","Bamburi","-4.02309","39.73429","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4",3105,1,0,0,0,0,3105,1.035,207,69,452.713021011976,150.904340337325,9.62590204978519,3.20863401659506,279.266684090345,93.0888946967816,218.780512714179,72.9268375713931,17.6530937137805,5.88436457126018
"5","QURBK5866P","2010-11-02","Kenya","Bamburi","-4.02309","39.73429","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Gated","4",2686,0.4,0,0,1343,0.2,6715,2.23833333333333,244.64,81.5466666666667,689.097569804153,229.699189934718,10.787736654994,3.59591221833133,674.877644932575,224.959214977525,400.87863028566,133.62621009522,21.0180071544543,7.00600238481809
"6","NVJLX5783S","2010-11-03","Kenya","Bamburi","-4.02602","39.73455","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",15030,0.6,0,0,0,0,25050,8.35,421.352,140.450666666667,1117.08355521661,372.361185072202,21.3417438367362,7.11391461224539,679.858808111506,226.619602703835,599.990645887898,199.996881962633,40.8437623472208,13.6145874490736
"7","CUNWU5668O","2010-11-04","Kenya","Bamburi","-4.02083","39.73512","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",15877.2,0.666666666666667,0,0,0,0,23815.8,7.9386,437.632,145.877333333333,1260.99794734876,420.332649116253,23.7933837569061,7.9311279189687,792.99687840291,264.33229280097,632.726283436671,210.908761145557,43.1247379247832,14.3749126415944
"8","WFTHS7245M","2010-11-05","Kenya","Bamburi","-4.02154","39.73579","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",15302,0.5,0,0,0,0,30604,10.2013333333333,371.648,123.882666666667,1038.73827074004,346.246090246681,19.0376740775312,6.34589135917705,633.647801743253,211.215933914418,591.230957076841,197.07698569228,36.3648868016424,12.1216289338808
"9","TEKGU6200B","2010-11-06","Kenya","Bamburi","-4.02083","39.73602","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",2410.4,0.333333333333333,0,0,0,0,7231.2,2.4104,152.712,50.904,660.641432276037,220.213810758679,10.419131844906,3.47304394830199,397.914796914679,132.638265638226,328.173690276206,109.391230092069,18.3918754981673,6.13062516605577
"10","HUEYB5983W","2010-11-08","Kenya","Bamburi","-4.02063","39.73565","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple",7332,0.428571428571429,0,0,0,0,17108,5.70266666666667,203.32,67.7733333333333,1288.20784312464,429.40261437488,20.6611828799369,6.88706095997898,860.570159097616,286.856719699205,853.736416721527,284.578805573842,39.4685278099143,13.1561759366381
"11","QQIIN7120C","2010-11-09","Kenya","Bamburi","-4.01019","39.73984","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",46135.5,0.9375,0,0,3075.7,0.0625,49211.2,16.4037333333333,600.74,200.246666666667,1434.51151154864,478.170503849547,28.6912006935521,9.56373356451736,829.067613255975,276.355871085325,648.690586358571,216.230195452857,53.6178085304485,17.8726028434828
"12","MLXFS0057Z","2010-11-10","Kenya","Bamburi","-4.01048","39.73972","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",19284.3,0.818181818181818,0,0,0,0,23569.7,7.85656666666667,428.54,142.846666666667,893.794395065158,297.931465021719,19.2127730788573,6.40425769295244,581.627878381982,193.875959460661,519.619498574387,173.206499524796,37.4583371759985,12.4861123919995
"13","FUTYJ2078U","2010-11-11","Kenya","Bamburi","-4.01019","39.73981","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4",2220,0.75,0,0,0,0,2960,0.986666666666667,132.76,44.2533333333333,325.973203113947,108.657734371316,6.61622198023435,2.20540732674478,210.027526270542,70.009175423514,168.191606277607,56.0638687592022,12.1001087647329,4.03336958824431
