"","DATE","MONTH","YEAR","Country","Site","Data collector","TRAP TYPE","TRAP NO.","Trap location","SOAK TIME (DAYS)","DAY SET","MESH SIZE","Gap size (Cms)","Gap size 3/2 (cm)","Fisherman","Number of Fishers","No of traps","Trap Fished","GPS (0)","Total Catch (G)","Distance from park(M)","Kiswahili name","FAMILY","GENUS","SPECIES","FISH GROUPS","ENGLISH NAME","BY CATCH","FD/HC","LENGTH (Cm)","Depth (M)","Depth (cm)","WIDTH (Cm)","WEIGHT (kg)","WEIGHT (g)","PRICE PER GRADE","PRICE OF FISH (ksh)","Survey","Sea state","Trophic level","Id","Fish price_final","FunGr_Diet","Latitude","Longitude"
"1",27,10,2010,"Kenya","Bamburi","Mbaru","Traditional","T","Kenyatta",10,"17/10/2010",NA,0,NA,"VTSZT8517P",1,6,3,"S04.02602, E039.73455",80,NA,"Kikorokoro","Chaetodontidae","Chaetodon","Chaetodon auriga","Butterflyfishes","Threadfin Butterflyfish","Yes","FD",13,"<20",NA,NA,0.08,80,8.8,110,0,0,0,0,110,"Invert-Micro",-4.02602,39.73455
"2",28,10,2010,"Kenya","Bamburi","Mbaru","Gated","G4","Kenyatta",1,"27/10/2010",NA,4,NA,"VTSZT8517P",1,6,3,"S04.02309 , E039.73429",1305,NA,"Kikorokoro","Chaetodontidae","Chaetodon","Chaetodon auriga","Butterflyfishes","Threadfin Butterflyfish","Yes","FD",10.6,"<20",NA,NA,0.035,35,3.85,110,0,0,0,0,110,"Invert-Micro",-4.02309,39.73429
"3",30,10,2010,"Kenya","Bamburi","Mbaru","Traditional","T","Kenyatta",2,"28/10/2010",NA,0,NA,"VTSZT8517P",1,6,3,"S04.02310, E039.73334",3672,NA,"Kikorokoro","Chaetodontidae","Chaetodon","Chaetodon auriga","Butterflyfishes","Threadfin Butterflyfish","Yes","FD",12,"<20",NA,NA,0.055,55,6.05,110,0,0,0,0,110,"Invert-Micro",-4.0231,39.73334
"4",30,10,2010,"Kenya","Bamburi","Mbaru","Traditional","T","Kenyatta",2,"28/10/2010",NA,0,NA,"VTSZT8517P",1,6,3,"S04.02310, E039.73334",3672,NA,"Kikorokoro","Chaetodontidae","Chaetodon","Chaetodon auriga","Butterflyfishes","Threadfin Butterflyfish","Yes","FD",12.5,"<20",NA,NA,0.057,57,6.27,110,0,0,0,0,110,"Invert-Micro",-4.0231,39.73334
"5",30,10,2010,"Kenya","Bamburi","Mbaru","Traditional","T","Kenyatta",2,"28/10/2010",NA,0,NA,"VTSZT8517P",1,6,3,"S04.02602, E039.73455",3672,NA,"Kikorokoro","Chaetodontidae","Chaetodon","Chaetodon falcula","Butterflyfishes","Threadfin Butterflyfish","Yes","FD",17.5,"<20",NA,NA,0.155,155,17.05,110,0,0,0,0,110,"Predator",-4.02602,39.73455
"6",30,10,2010,"Kenya","Bamburi","Mbaru","Gated","G4","Kenyatta",2,"28/10/2010",NA,4,NA,"VTSZT8517P",1,6,3,"S04.02309 , E039.73429",3672,NA,NA,"Synanceiidae","Synanceia","Synanceia verrucosa","Scorpionfishes","Stone fishes","Yes","FD",17.5,"<20",NA,NA,0.135,135,14.85,110,0,0,0,0,110,"Predator",-4.02309,39.73429
"7",2,11,2010,"Kenya","Bamburi","Mbaru","Gated","G4","Kenyatta",2,"31/10/2010",NA,4,NA,"VTSZT8517P",1,6,3,"S04.02309 , E039.73429",1343,NA,"Jame","Pomacanthidae","Pomacanthus","Pomacanthus semicirculatus","Angelfishes","Semicircle angelfish","No","FD",18.5,"<20",NA,NA,0.215,215,23.65,110,0,0,0,0,110,"Invert-Micro",-4.02309,39.73429
"8",3,11,2010,"Kenya","Bamburi","Mbaru","Traditional","T","Kenyatta",1,"40220",NA,0,NA,"VTSZT8517P",1,6,3,"S04.02318, E039.73373",2505,NA,"Kikorokoro","Chaetodontidae","Chaetodon","Chaetodon auriga","Butterflyfishes","Threadfin Butterflyfish","Yes","FD",13.8,"<20",NA,NA,0.0623,62.3,6.853,110,0,0,0,0,110,"Invert-Micro",-4.02318,39.73373
"9",3,11,2010,"Kenya","Bamburi","Mbaru","Traditional","T","Kenyatta",1,"40220",NA,0,NA,"VTSZT8517P",1,6,3,"S04.02602, E039.73455",2505,NA,"Ngombe maji","Ostraciidae","Ostracion","Ostracion cubicum","Trunkfishes","Yellow boxfish","Yes","FD",17.8,"<20",NA,NA,0.1425,142.5,15.675,110,0,0,0,0,110,"Variable",-4.02602,39.73455
"10",4,11,2010,"Kenya","Bamburi","Mbaru","Gated","G4","Kenyatta",1,"40248",NA,4,NA,"VTSZT8517P",1,6,3,"E04.02136, E039.73529",2646.2,NA,"Kikorokoro","Chaetodontidae","Chaetodon","Chaetodon auriga","Butterflyfishes","Threadfin Butterflyfish","Yes","FD",13,"<20",NA,NA,0.0569,56.9,6.259,110,0,0,0,0,110,"Invert-Micro",NA,39.73529
"11",4,11,2010,"Kenya","Bamburi","Mbaru","Gated","G4","Kenyatta",1,"40248",NA,4,NA,"VTSZT8517P",1,6,3,"E04.02136, E039.73529",2646.2,NA,"Kikorokoro","Chaetodontidae","Chaetodon","Chaetodon auriga","Butterflyfishes","Threadfin Butterflyfish","Yes","FD",12.9,"<20",NA,NA,0.0565,56.5,6.215,110,0,0,0,0,110,"Invert-Micro",NA,39.73529
"12",4,11,2010,"Kenya","Bamburi","Mbaru","Gated","G4","Kenyatta",1,"40248",NA,4,NA,"VTSZT8517P",1,6,3,"E04.02136, E039.73529",2646.2,NA,NA,"Triodontidae","Arothron","Arothron hispidus","Puffers","White-spotted puffer","Yes","FD",20,"<20",NA,NA,0.39,390,42.9,110,0,0,0,0,110,"Variable",NA,39.73529
"13",5,11,2010,"Kenya","Bamburi","Mbaru","Gated","G4","Kenyatta",1,"40279",NA,4,NA,"VTSZT8517P",1,6,3,"S04.02154, E039.73579",2186,NA,NA,"Triodontidae","Arothron","Arothron nigropunctatus","Puffers","Black spotted puffer","Yes","FD",18,"<20",NA,NA,0.2365,236.5,26.015,110,0,0,0,0,110,"Predator",-4.02154,39.73579
"14",5,11,2010,"Kenya","Bamburi","Mbaru","Gated","G4","Kenyatta",1,"40279",NA,4,NA,"VTSZT8517P",1,6,3,"S04.02154, E039.73579",2186,NA,"Kikorokoro","Chaetodontidae","Chaetodon","Chaetodon auriga","Butterflyfishes","Threadfin Butterflyfish","Yes","FD",13.6,"<20",NA,NA,0.0635,63.5,6.985,110,0,0,0,0,110,"Invert-Micro",-4.02154,39.73579
