"Species","Family","FishGroups","EnglishName","KiswahiliName","Bycatch","Price_KSHPerkg","FunGr_Diet","TrophLevel","SE_TrophLevel","Vulnerability","Lmat_cm","Lopt_cm","Linf_cm","SizeCategory","Diet","Mobility","Active","Schooling","Position","TempPrefMin_degC","TempPrefMean_degC","TempPrefMax_degC","Calcium_mgPer100g","Calicum_L95","Calcium_U95","Iron_mgPer100g","Iron_L95","Iron_U95","Omega3_gPer100g","Omega3_L95","Omega3_U95","Protein_gPer100g","Protein_L95","Protein_U95","VitaminA_ugPer100g","VitaminA_L95","VitaminA_U95","Selenium_ugPer100g","Selenium_L95","Selenium_U95","Zinc_ugPer100g","Zinc_L95","Zinc_U95"
"Chaetodon auriga","Chaetodontidae","Butterflyfishes","Threadfin butterflyfish","Kikorokoro","Yes",80,"Invert-Micro",3.13000011444092,0.4088,11.53,9.13380270534701,10.041655121372,15.4756090870205,"S3","Mobile Inverts","Sed","Day","Pair","Bottom",25.5,28,29,95.7302348184494,53.554496738269,172.645887445284,0.821087244202456,0.506604165348113,1.50809023721521,0.146221623207616,0.089282898757115,0.241702377584672,19.4502488245574,18.3747303287772,20.5595623308383,33.4023578990245,10.060922163989,114.373516530921,33.8046017491224,17.0163621169525,69.1791436252938,1.18328914430719,0.777928698261342,1.79485170518339
"Siganus sutor","Siganidae","Rabbitfishes","White-spotted rabbitfish","Tafi","No",200,"Browser",2,0,26.01,25.7435437034549,26.8287833447241,37.1318241403472,"S4","Herbivorous detritivorous","Mob","Day","LargeG","Bottom",24.6,27.5,28.9,43.7403885035726,18.4618119987435,104.388810651253,0.930038845389873,0.407040568945956,1.95088290483079,0.275352755907898,0.126218878118411,0.621167412870559,18.1986798653888,16.9081944611898,19.473181728207,26.9822883179077,7.16682814675428,98.9371301893531,21.1382137888096,8.40390291287815,54.5032761027493,1.70561291920585,0.777727853300276,3.6888395100948
"Parupeneus macronemus","Mullidae","Goatfishes","Longbarbel goatfish","Mkundaji","No",160,"Predator",3.5,0.37,33.41,14.2983039109628,16.4445424867016,27.2304321351027,"S4","Mobile Inverts","Mob","Day","SmallG","Bottom",25.6,28,29.1,34.6150610404069,17.4107003318754,73.8070014008663,0.310534994686715,0.168837936038394,0.637319507811977,0.122357198639165,0.0695768055309146,0.21815379673564,18.3017976767407,15.1405915641963,21.1098786459499,233.59456281712,37.728461856085,923.403313291054,63.0861431187703,29.0969973944477,139.917405500376,0.545369799017695,0.327972203871592,1.13262970027279
"Scarus rubroviolaceus","Scaridae","Parrotfishes","Redlip parrotfish","Pono","No",120,"Scrapers/Excavators",2,0,29.54,20.7631897170067,28.9960476836786,35.0207867323468,"S5","Omnivorous","Mob","Day","SmallG","Bottom",24.9,28.3,29.3,31.0953575239037,20.2823158224811,49.0041373696523,0.791639628442981,0.539234665129506,1.20719921905321,0.0851131604729759,0.0585875306376187,0.12249721049853,18.9628561003106,16.8515120799217,20.8627733027694,13.6450703244957,4.29869172621396,43.7736577877033,23.9431608263801,15.7741635063134,38.3346261517043,2.00366463072776,1.46526512837844,2.64372322163145
"Chaetodon falcula","Chaetodontidae","Butterflyfishes","Threadfin butterflyfish","Kikorokoro","Yes",80,"Predator",3.5,0.37,15.01,8.28462022115478,9.03050790143304,13.9345513902065,"S3","Mobile Inverts","Sed","Day","SmallG","Bottom",26.2,28.2,29.3,85.4720939505361,51.5316472992303,142.479742994578,0.742437142356597,0.487600993778172,1.23986573155361,0.144493587137184,0.092809906143087,0.222831802871548,19.185775453274,18.1278532801549,20.2228485708692,50.2471213285121,16.4743442391957,152.654171411177,29.6514830357687,16.5594556651762,55.5469286497187,1.25897827358297,0.856097739452502,1.83701670630735
"Lethrinus harak","Lethrinidae","Emperors","Blackspot emperor","Changu","No",200,"Predator",3.43,0.5,27.35,23.8048094188566,27.4212643333212,39.5414778330548,"S4","Mobile Inverts","Mob","Day","SmallG","Bottom",25.7,28.5,29.2,62.1044183349507,33.7612217048333,104.629490618976,1.25124887139019,0.72687952031653,2.19153015413597,0.263993759250474,0.138490712215389,0.51063713932281,19.2106591947854,16.9186765512868,21.2812551759585,19.0690573839911,4.19682674782188,113.592750667512,49.912352254308,20.2633020774903,103.4454333874,2.83543044450876,1.86712200102245,4.10939224133176
"Synanceia verrucosa","Synanceiidae","Scorpionfishes","Stone fishes",NA,"Yes",0,"Predator",4.2,0.73,58.16,18.9508815378868,20.6480619672618,32.61876409259,"S4","Carnivorous","Sed","Night","Sol","Bottom",24.9,28.3,29.3,41.455665030625,21.1435639553089,95.8126020140287,0.555476528898428,0.283413327622257,1.05219997468231,0.219975832461292,0.103526186434618,0.578078537594019,18.1017365378967,16.5935961071843,19.5543326359331,221.384747269333,80.5560529848579,618.493862087739,36.4769119843662,17.7111904024457,79.5551395432486,0.9581154789566,0.64544362394792,1.44745097491984
"Acanthurus triostegus","Acanthuridae","Surgeonfishes","Convict surgeonfish","Togoo","Yes",120,"Grazer",2.78,0.35,16.26,14.6547895888429,14.6517778775341,20.6201602322719,"S3","Herbivorous detritivorous","VMob","Day","LargeG","Bottom",23.4,27.6,28.9,93.2894898059378,31.0152109137006,228.484622889886,0.977814359776403,0.372537659689742,2.4631932715979,0.130899381344249,0.0614058358543283,0.270223152693127,19.0228852810256,17.9521118220245,20.06869020036,26.5230502412899,8.38704665688455,86.3445025306412,20.3285164866732,6.67939870818377,56.6157903927805,2.34909734944706,0.744438190212774,4.57129851217808
"Lutjanus fulviflamma","Lutjanidae","Snappers","Dory snapper","Tembo","No",200,"Invert-Macro",3.85,0.62,34.26,20.0736936391811,26.6456392156786,35.9040898815946,"S4","Mobile Inverts","Mob","Both","MedG","Low",24.7,28.1,29.1,59.7807603987091,33.2570132640184,106.842672424631,0.545537739322591,0.310097953852534,1.00654468827189,0.304044175642926,0.15491773515964,0.609379079600484,17.6267018771244,16.1007489650557,19.0512581892492,134.554946463412,21.899426598532,578.062319042861,71.0267891313789,29.2426822588098,146.237807472508,0.752815871769248,0.501088732539326,1.34030271318176
"Pomacanthus semicirculatus","Pomacanthidae","Angelfishes","Semicircle angelfish","Jame","Yes",160,"Invert-Micro",2.69,0,64.59,23.7917569896446,28.1696811958262,38.7523029292634,"S4","Sessile Inverts","Sed","Day","Sol","Bottom",24.7,27.8,29,31.4832328364106,18.0477724314586,51.6275599521487,0.462045004098616,0.291476197780692,0.75581663652904,0.11151171153023,0.0699834519915169,0.173602296415048,18.5703124353078,17.3609964210366,19.7308622192194,70.1745212164645,18.535061131714,246.847399822902,28.708194472429,15.3049974868963,54.6217636087696,1.16113361255543,0.750848031705683,1.74155745957655
