"","TripID","GateCode","Site","TrapType","BrowserCt","BrowserMass_g","BrowserCtRatio","BrowserMassRatio","GrazerCt","GrazerMass_g","GrazerCtRatio","GrazerMassRatio","ScraperCt","ScraperMass_g","ScraperCtRatio","ScraperMassRatio","OtherCt","OtherMass_g","OtherCtRatio","OtherMassRatio","KeyHerbivoreCt","KeyHerbivoreMass_g","KeyHerbivoreCtRatio","KeyHerbivoreMassRatio","TotalCt","TotalMass_g"
"1","FOYWX8681I","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,1,80,1,1,0,0,0,0,1,80
"2","YHQLW3097K","T","Bamburi","Traditional",1,300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,300,1,1,1,300
"3","YHQLW3097K","G4","Bamburi","Gated",2,655,0.4,0.651741293532338,0,0,0,0,1,150,0.2,0.149253731343284,2,200,0.4,0.199004975124378,3,805,0.6,0.800995024875622,5,1005
"4","MRHFY7580X","T","Bamburi","Traditional",4,1230,0.571428571428571,0.821643286573146,0,0,0,0,0,0,0,0,3,267,0.428571428571429,0.178356713426854,4,1230,0.571428571428571,0.821643286573146,7,1497
"5","MRHFY7580X","G4","Bamburi","Gated",6,1650,0.666666666666667,0.758620689655172,0,0,0,0,0,0,0,0,3,525,0.333333333333333,0.241379310344828,6,1650,0.666666666666667,0.758620689655172,9,2175
"6","ACKXA0513N","G4","Bamburi","Gated",3,1035,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1035,1,1,3,1035
"7","MHEKJ9451E","G4","Bamburi","Gated",2,731,0.4,0.544303797468354,1,192,0.2,0.142963514519732,0,0,0,0,2,420,0.4,0.312732688011914,3,923,0.6,0.687267311988086,5,1343
"8","MPYDP7888E","T","Bamburi","Traditional",6,1984,0.666666666666667,0.863284309459577,0,0,0,0,0,0,0,0,3,314.2,0.333333333333333,0.136715690540423,6,1984,0.666666666666667,0.863284309459577,9,2298.2
"9","GVGML2145Z","T","Bamburi","Traditional",1,451.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,451.7,1,1,1,451.7
"10","GVGML2145Z","G4","Bamburi","Gated",5,1691.1,0.625,0.770608339029392,0,0,0,0,0,0,0,0,3,503.4,0.375,0.229391660970608,5,1691.1,0.625,0.770608339029392,8,2194.5
"11","DQCKU2147B","T","Bamburi","Traditional",2,832.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,832.5,1,1,2,832.5
"12","DQCKU2147B","G4","Bamburi","Gated",5,684.1,0.416666666666667,0.505430365718508,0,0,0,0,0,0,0,0,7,669.4,0.583333333333333,0.494569634281492,5,684.1,0.416666666666667,0.505430365718508,12,1353.5
"13","YZPGT1994C","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,3,183.9,1,1,0,0,0,0,3,183.9
"14","YZPGT1994C","G4","Bamburi","Gated",2,690,0.666666666666667,0.675609517281896,0,0,0,0,0,0,0,0,1,331.3,0.333333333333333,0.324390482718104,2,690,0.666666666666667,0.675609517281896,3,1021.3
"15","LUFHJ8429O","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,4,1465.4,1,1,0,0,0,0,4,1465.4
"16","LUFHJ8429O","G4","Bamburi","Gated",3,978.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,978.6,1,1,3,978.6
"17","EEHWO8011U","T","Bamburi","Traditional",4,1069.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1069.3,1,1,4,1069.3
"18","EEHWO8011U","G4","Bamburi","Gated",11,1826.4,0.916666666666667,0.910287081339713,1,180,0.0833333333333333,0.0897129186602871,0,0,0,0,0,0,0,0,12,2006.4,1,1,12,2006.4
"19","NUSBA0783Y","T","Bamburi","Traditional",2,604.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,604.5,1,1,2,604.5
"20","NUSBA0783Y","G4","Bamburi","Gated",7,1273,0.777777777777778,0.827590690417371,0,0,0,0,0,0,0,0,2,265.2,0.222222222222222,0.172409309582629,7,1273,0.777777777777778,0.827590690417371,9,1538.2
"21","WKEDK8583Q","G4","Bamburi","Gated",3,663.8,0.75,0.897027027027027,0,0,0,0,0,0,0,0,1,76.2,0.25,0.102972972972973,3,663.8,0.75,0.897027027027027,4,740
"22","FTABE0008M","T","Bamburi","Traditional",1,339.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,339.5,1,1,1,339.5
"23","FTABE0008M","G4","Bamburi","Gated",3,501.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,501.3,1,1,3,501.3
"24","XVWLX1004X","T","Bamburi","Traditional",1,254,0.25,0.254,2,311,0.5,0.311,0,0,0,0,1,435,0.25,0.435,3,565,0.75,0.565,4,1000
"25","XVWLX1004X","G4","Bamburi","Gated",4,671.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,671.4,1,1,4,671.4
"26","PMATS1497C","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,3,850.6,1,1,0,0,0,0,3,850.6
"27","PMATS1497C","G4","Bamburi","Gated",3,988.2,0.6,0.592481563642904,0,0,0,0,0,0,0,0,2,679.7,0.4,0.407518436357096,3,988.2,0.6,0.592481563642904,5,1667.9
"28","GSMOP3062J","T","Bamburi","Traditional",2,584.7,0.5,0.593965867533523,0,0,0,0,0,0,0,0,2,399.7,0.5,0.406034132466477,2,584.7,0.5,0.593965867533523,4,984.4
"29","GSMOP3062J","G4","Bamburi","Gated",4,1165.3,0.8,0.807385851867249,0,0,0,0,0,0,0,0,1,278,0.2,0.192614148132751,4,1165.3,0.8,0.807385851867249,5,1443.3
"30","EVXYA3486H","T","Bamburi","Traditional",3,761.5,0.75,0.873179681229217,1,110.6,0.25,0.126820318770783,0,0,0,0,0,0,0,0,4,872.1,1,1,4,872.1
"31","EVXYA3486H","G4","Bamburi","Gated",0,0,0,0,1,64.5,0.5,0.137029955385596,0,0,0,0,1,406.2,0.5,0.862970044614404,1,64.5,0.5,0.137029955385596,2,470.7
"32","JYCSB2884V","T","Bamburi","Traditional",1,263.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,263.4,1,1,1,263.4
"33","JYCSB2884V","G4","Bamburi","Gated",2,270.9,0.5,0.416769230769231,0,0,0,0,0,0,0,0,2,379.1,0.5,0.583230769230769,2,270.9,0.5,0.416769230769231,4,650
"34","YSMQQ5297F","T","Bamburi","Traditional",1,110,0.5,0.578034682080925,0,0,0,0,0,0,0,0,1,80.3,0.5,0.421965317919075,1,110,0.5,0.578034682080925,2,190.3
"35","YSMQQ5297F","G4","Bamburi","Gated",1,398.7,0.5,0.500188182160331,0,0,0,0,0,0,0,0,1,398.4,0.5,0.499811817839669,1,398.7,0.5,0.500188182160331,2,797.1
"36","XQJAK1958O","T","Bamburi","Traditional",4,1070.7,0.444444444444444,0.444716730353879,2,435.3,0.222222222222222,0.180802458880213,1,134.8,0.111111111111111,0.0559893670044858,2,766.8,0.222222222222222,0.318491443761422,7,1640.8,0.777777777777778,0.681508556238578,9,2407.6
"37","IPZXP5123I","T","Bamburi","Traditional",2,134.4,0.5,0.203605514316013,0,0,0,0,0,0,0,0,2,525.7,0.5,0.796394485683987,2,134.4,0.5,0.203605514316013,4,660.1
"38","IPZXP5123I","G4","Bamburi","Gated",2,599.2,0.333333333333333,0.464568150100791,1,110,0.166666666666667,0.0852845402387967,0,0,0,0,3,580.6,0.5,0.450147309660412,3,709.2,0.5,0.549852690339588,6,1289.8
"39","QHYJP5768X","G4","Bamburi","Gated",0,0,0,0,0,0,0,0,0,0,0,0,2,620.8,1,1,0,0,0,0,2,620.8
"40","LQISJ8590W","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,1,280,0.142857142857143,0.307388297288396,6,630.9,0.857142857142857,0.692611702711604,1,280,0.142857142857143,0.307388297288396,7,910.9
"41","LQISJ8590W","G4","Bamburi","Gated",0,0,0,0,0,0,0,0,0,0,0,0,2,588.4,1,1,0,0,0,0,2,588.4
"42","GYESN7044Z","T","Bamburi","Traditional",1,229.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,229.7,1,1,1,229.7
"43","GYESN7044Z","G4","Bamburi","Gated",2,359.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,359.6,1,1,2,359.6
"44","QWYFX8195A","T","Bamburi","Traditional",1,236.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,236.1,1,1,1,236.1
"45","QWYFX8195A","G4","Bamburi","Gated",2,249.3,0.5,0.588804912612187,0,0,0,0,0,0,0,0,2,174.1,0.5,0.411195087387813,2,249.3,0.5,0.588804912612187,4,423.4
"46","EIECC5926R","T","Bamburi","Traditional",1,135.6,0.333333333333333,0.296263928337339,1,145.5,0.333333333333333,0.31789381691064,0,0,0,0,1,176.6,0.333333333333333,0.385842254752021,2,281.1,0.666666666666667,0.614157745247979,3,457.7
"47","EIECC5926R","G4","Bamburi","Gated",0,0,0,0,1,105.3,0.25,0.233222591362126,0,0,0,0,3,346.2,0.75,0.766777408637874,1,105.3,0.25,0.233222591362126,4,451.5
"48","VQJQR2208L","T","Bamburi","Traditional",3,735.6,0.75,0.828564992115341,0,0,0,0,0,0,0,0,1,152.2,0.25,0.171435007884659,3,735.6,0.75,0.828564992115341,4,887.8
"49","VQJQR2208L","G4","Bamburi","Gated",2,427.6,0.285714285714286,0.275001607820439,1,94.9,0.142857142857143,0.0610328638497653,0,0,0,0,4,1032.4,0.571428571428571,0.663965528329796,3,522.5,0.428571428571429,0.336034471670204,7,1554.9
"50","IRMFZ2212V","T","Bamburi","Traditional",4,980.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,980.5,1,1,4,980.5
