"","Species","DemersPelag","Length","Comments"
"1","Chaetodon auriga","reef-associated",23,"May be seen in a variety of habitats ranging from rich coral reefs (Ref. 58652) to weedy and rubble covered areas (Ref. 1602).  Benthopelagic (Ref. 58302).  Maybe found singly, in pairs, and in aggregations that roam over large distances in search of food.  Feed mainly by tearing pieces from polychaetes, sea anemones, coral polyps, and algae (Ref. 1602).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205)."
"2","Siganus sutor","reef-associated",45,"Inhabits inshore areas and inner reefs (Ref. 9710).  Often occurs among seagrasses to browse on 'aufwuchs'.  Forms schools.  A food fish that is occasionally poisonous (Ref. 4537)."
"3","Parupeneus macronema",NA,NA,NA
"4","Scarus rubroviolaceus","reef-associated",70,"Occurs solitary or in pairs in seaward reefs (Ref. 90102).  Usually over rocky or coral substrates, at boulder-strewn slopes at the base of high-island cliffs where it may occur in large schools.  Large adult usually on upper parts of deep slopes, but seen to about 35 m depth (Ref. 48636).  Benthopelagic (Ref. 58302).  Feeds on benthic algae (Ref. 30573).  A protogynous hermaphrodite (Ref. 55367).  An uncommon species (Ref. 9338)."
"5","Chaetodon falcula","reef-associated",20,"Found on the reef edge and upper slope.  Usually in current-prone habitats; juveniles secretive in corals (Ref. 48636).  Generally seen in pairs or in small aggregations (Ref. 4858).   Feed mainly on invertebrates (Ref. 6113).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).  Indian Ocean species counterpart of sibling <i>Chaetodon ulietensis</i> which is found in western and central Pacific (Ref. 90102)."
"6","Lethrinus harak","reef-associated",50,"Found solitary or in small schools over shallow sandy, coral rubble, mangroves, lagoons, channel and seagrass areas inshore and adjacent to coral reefs.  Feeds on polychaetes, crustaceans, mollusks, echinoderms and small fish.  Reported to spawn throughout the year during the first five days of the lunar month in large aggregations in Palau. Caught mostly by shore seine, gill nets, traps, and handline. Marketed mostly fresh (Ref. 171, 68703); flesh spoils rapidly (Ref. 4369)."
"7","Synanceia verrucosa","reef-associated",40,"Most widespread stonefish (Ref. 4313).  Found on sandy or rubble areas of reef flats and shallow lagoons and in small pools during low tide well camouflaged among the substrate and sometimes even covered with algae (Ref. 5213, 5503).  Solitary species (Ref. 37816).  Feeds on fishes and crustaceans.  The dorsal fin has 2 grooves serving as seringes of venom; their stings are excruciatingly painful and can occasionally be fatal.  A serum exists which is effective if applied immediately after the infliction.  World's most venomous fish (Ref. 37816).  Uncommon in markets.  In Hong Kong live fish markets (Ref. 27253).  Also Ref. 57406."
"8","Acanthurus triostegus","reef-associated",27,"Adults occur in lagoon and seaward reefs with hard substrate; young abundant in tide pools (Ref. 3145, 48637).  Benthopelagic (Ref. 58302).  Often feeding near freshwater run-offs where certain algae grow on rocks that are grazed (Ref. 48637).  Occasionally form schools; feed on filamentous algae in large aggregations.  During spawning, clouds of eggs and sperm are preyed upon by eagle rays which are often present during spawning.  Form spawning aggregations (Ref. 27825).  Size of metamorphosis from post-larva stage to juvenile is 3.2 cm (Ref. 9267).  Utilized as a food fish (Ref. 7364).  Minimum depth reported taken from Ref. 27115."
"9","Lutjanus fulviflamma","reef-associated",35,"Adults inhabit coral reefs (Ref. 30573, 58652), usually in schools on coastal reefs and in deep lagoons (Ref. 48635).  Often in large aggregations with <i>Lutjanus kasmira</i> and <i>Lutjanus lutjanus</i> (Ref. 9710).  Juveniles are sometimes found in mangrove estuaries or in the lower reaches of freshwater streams.  Feed mainly on fishes, shrimps, crabs and other crustaceans (Ref. 30573).  Caught mainly with handlines, traps, and gill nets. A small species, commonly utilized in subsistence fisheries but also seen frequently in markets where it is sold usually fresh (Ref. 9821). Neither anterolateral glandular groove nor venom gland is present (Ref. 57406,  information in the table as dangerous fish, does not match; needs verification)."
"10","Pomacanthus semicirculatus","reef-associated",40,"Juveniles inhabit shallow protected areas, while adults prefer coastal reefs with heavy coral growth providing ample hiding places.  Generally solitary or in pairs.  Feeds on sponges, tunicates, and algae (Ref. 30573).  The young are excellent aquarium fish and suitable for a community tank."
