"","Estimate","Std. Error","z value","Pr(>|z|)","Site"
"SiteBogowa",1.57326918868001,0.14105104190292,11.1538998043192,6.85353251467283e-29,"Bogowa"
"SiteJimbo",0.59943664480036,0.101086187521068,5.92995600586308,3.03015856918069e-09,"Jimbo"
"SiteMayungu",-0.192677006530711,0.109430516059667,-1.76072464490301,0.0782850193859799,"Mayungu"
"SiteMkunguni",0.723005246395946,0.0724217987782415,9.98325447024338,1.80449037096603e-23,"Mkunguni"
"SiteMtwapa",1.10431625700665,0.400559970699844,2.75693114086569,0.00583466371143411,"Mtwapa"
"SiteMunje",2.26775823548064,0.0642017108177574,35.3223957211652,2.66126666075878e-273,"Munje"
"SiteMwaembe",1.29130346452785,0.0761619132191386,16.9547141077249,1.77623237599638e-64,"Mwaembe"
"SiteMwaepe",1.61872801927077,0.107649600291275,15.0370091007385,4.20106420920318e-51,"Mwaepe"
"SiteMwandamo",1.42944462196339,0.101682970168734,14.0578566852576,6.89427560462278e-45,"Mwandamo"
"SiteNyali",0.595493289631527,0.107461336417912,5.54146551198362,2.99950656220579e-08,"Nyali"
"SiteTiwi",1.54400377573931,0.141538438962961,10.9087240685434,1.04715734417031e-27,"Tiwi"
"SiteVanga",0.812493779803671,0.0612833970660538,13.257975548058,4.05700435293028e-40,"Vanga"
