"TripID","Date","Country","Site","Latitude","Longitude","Observer","Fisher","TotalCrew","TrapsOwned","TrapsFished","TrapLocation","Depth_m","SoakTime_Days","TrapType","GapSize_cm","B.undulatus","BrowserMass_g","BrowserMassRatio","ScraperMass_g","ScraperMassRatio","GrazerMass_g","GrazerMassRatio","PredatorMass_g","PredatorMassRatio","TotalCatch_g","LowNoCatch","CPUE_kgPerTrap","CPUE_DistFromMean","TotalValue_KSH","ValuePUE","MeanLLmat","MeanLLopt","MeanTrophLevel","MeanVulnerability","MTC_degC","FECount","FRic","FEve","FDiv","TotalCa_mg","CaPUE","CaConc_mgPer100g","CaPrice_KSHPermg","TotalFe_mg","FePUE","FeConc_mgPer100g","FePrice_KSHPermg","TotalOmega3_g","Omega3PUE","Omega3Conc_gPer100g","Omega3Price_KSHPerg","TotalProtein_g","ProteinPUE","ProteinConc_gPer100g","ProteinPrice_KSHPerg","TotalVA_ug","VAPUE","VAConc_ugPer100g","VAPrice_KSHPerug","TotalSe_ug","SePUE","SeConc_ugPer100g","SePrice_KSHPerug","TotalZn_ug","ZnPUE","ZnConc_ugPer100g","ZnPrice_KSHPerug"
"FJMZQ0117X",2010-10-28,"Kenya","Bamburi",-4.02309,39.73429,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",3915,0.5,1305,0.1667,0,0,1305,0.166666666666667,7830,"Catch",2.61,0.5197,238,79,1.14930843352226,1.03282053360909,2.43833335240682,25.4183333333333,27.6685823754789,NA,NA,NA,NA,554.984179398103,184.994726466034,7.08792055425418,0.429201423828577,10.8690936928417,3.62303123094723,0.138813457124415,21.9153506935796,3.01035550550718,1.00345183516906,0.0384464304662475,79.126867097336,239.247230120146,79.7490767067154,3.05552018033392,0.995622811935502,675.270312835669,225.090104278556,8.62414192638146,0.352747626353844,353.708429680866,117.902809893622,4.5173490380698,0.673436028128921,20.6081116933942,6.86937056446474,0.263194274500565,11.5585553661548
"IWQOT8695W",2010-10-30,"Kenya","Bamburi",-4.02309,39.73455,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple","No",36720,0.625,0,0,0,0,14688,0.25,58752,"Catch",19.584,2.6041,675,225,1.12473228003038,1.0514844406997,2.55125001430511,25.689375,27.6804193899782,NA,NA,NA,NA,1797.59517682054,599.198392273512,3.05963231348811,0.375701942633452,34.4852779438224,11.4950926479408,0.0586963472627697,19.5840091850262,9.64443568310222,3.21481189436741,0.0164155019115983,70.0258700655013,675.0031259451,225.0010419817,1.14890237940002,1.00052869985513,1265.62231507301,421.874105024336,2.15417741536119,0.533618909809631,936.503514752871,312.167838250957,1.59399427211477,0.721150523581556,64.7499868689817,21.5833289563272,0.110208991811311,10.4302723854841
"UPYTE7863T",2010-10-31,"Kenya","Bamburi",-4.02309,39.73429,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4","No",3105,1,0,0,0,0,0,0,3105,"Catch",1.035,0.586,207,69,1.10059957788682,1.05607969505278,2,26.01,27.5,48,0.344360355974606,0.444368,0.859479784421231,452.713021011976,150.904340337325,14.5801295011909,0.457243309541397,9.62590204978519,3.20863401659506,0.310012948463291,21.5044781184553,2.84990102364674,0.949967007882248,0.0917842519692993,72.6341014240284,188.356336606774,62.7854455355914,6.06622662179627,1.09898081333015,279.266684090345,93.0888946967816,8.99409610596923,0.741226976910121,218.780512714179,72.9268375713931,7.04607126293653,0.946153738429301,17.6530937137805,5.88436457126018,0.568537639735283,11.7259899797852
"CFENS7810E",2010-11-02,"Kenya","Bamburi",-4.02309,39.73429,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Gated","4","No",2686,0.4,0,0,1343,0.2,0,0,6715,"Catch",2.2383,0.1047,245,82,1.10201319855679,0.999885244835678,2.664,33.426,27.6539091586001,48,0.344360355974606,0.444368,0.859479784421231,689.097569804153,229.699189934718,10.2620635860633,0.355015038101975,10.787736654994,3.59591221833133,0.160651327699092,22.6776021536221,3.12719619772569,1.04239873257523,0.046570308231209,78.2298213901383,245.617200139578,81.872400046526,3.65773939150526,0.996021450700428,674.877644932575,224.959214977525,10.0502999989959,0.362495337987438,400.87863028566,133.62621009522,5.96989769598898,0.610259518761759,21.0180071544543,7.00600238481809,0.313000851146005,11.6395430928452
"OHWQB6577C",2010-11-03,"Kenya","Bamburi",-4.02602,39.73455,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",15030,0.6,2505,0.1,0,0,0,0,25050,"Catch",8.35,0.5367,421,140,1.12642763498879,1.0319016056581,2.30777779049344,23.888,27.6842115768463,NA,NA,NA,NA,1117.08355521661,372.361185072202,4.45941539008625,0.377189332017603,21.3417438367362,7.11391461224539,0.0851965821825795,19.7430914372946,5.65829553852533,1.88609851284178,0.0225880061418177,74.4662411376648,460.428713258084,153.476237752695,1.83803877548137,0.915129721207937,679.858808111506,226.619602703835,2.71400721801,0.619763978892059,599.990645887898,199.996881962633,2.39517223907345,0.702264281764694,40.8437623472208,13.6145874490736,0.163048951485911,10.3161896893338
"KMWFM5887Y",2010-11-04,"Kenya","Bamburi",-4.02083,39.73512,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",15877.2,0.6667,0,0,0,0,0,0,23815.8,"Catch",7.9386,0.461,438,146,1.19148323256509,1.12886879983335,2.37333334816827,23.6811111111111,27.5509031819212,NA,NA,NA,NA,1260.99794734876,420.332649116253,5.29479567072598,0.347052111321925,23.7933837569061,7.9311279189687,0.0999058765899364,18.3930122958226,6.9346425274859,2.31154750916197,0.0291178231572565,63.1080835479864,480.449015835157,160.149671945052,2.01735409196901,0.910881249781044,792.99687840291,264.33229280097,3.32970917795291,0.551871024866311,632.726283436671,210.908761145557,2.65675007111527,0.691660851550198,43.1247379247832,14.3749126415944,0.181076167606308,10.148050076578
"SXRGK2758U",2010-11-05,"Kenya","Bamburi",-4.02154,39.73579,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",15302,0.5,0,0,0,0,2186,0.0714285714285714,30604,"Catch",10.2013,0.8774,372,124,0.923824585682835,0.854320971849494,2.64000004155295,29.8635714285714,27.6554666056725,NA,NA,NA,NA,1038.73827074004,346.246090246681,3.39412583564254,0.357787914885645,19.0376740775312,6.34589135917705,0.0622064896011344,19.5217124994608,5.16107188558662,1.72035729519554,0.0168640435419769,72.009847612839,405.550477983896,135.183492661299,1.32515513653083,0.916403802179116,633.647801743253,211.215933914418,2.07047379997142,0.586521406651368,591.230957076841,197.07698569228,1.9318747780579,0.628600372750268,36.3648868016424,12.1216289338808,0.118823966807092,10.2199685654793
"NALLH2052X",2010-11-06,"Kenya","Bamburi",-4.02083,39.73602,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",2410.4,0.3333,0,0,0,0,0,0,7231.2,"Catch",2.4104,0.5564,153,51,1.32168162653134,1.23527803823295,2.74833337465922,20.1033333333333,27.6312728177896,NA,NA,NA,NA,660.641432276037,220.213810758679,9.13598617485392,0.231157164142548,10.419131844906,3.47304394830199,0.144085792744025,14.6568833443319,2.90667326137293,0.968891087124311,0.0401962780917819,52.5384129098392,219.47125906239,73.1570863541301,3.0350600047349,0.69581776061433,397.914796914679,132.638265638226,5.50274915525334,0.383780651496467,328.173690276206,109.391230092069,4.5383019454061,0.465338948626475,18.3918754981673,6.13062516605577,0.254340572770319,8.30323150106237
"ERUZH5023B",2010-11-08,"Kenya","Bamburi",-4.02063,39.73565,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple","No",7332,0.4286,0,0,0,0,2444,0.142857142857143,17108,"Catch",5.7027,0.0495,203,68,1.28648646546017,1.16254237615158,2.75285710198539,29.2585714285714,27.8326841243863,NA,NA,NA,NA,1288.20784312464,429.40261437488,7.52985645969511,0.157831673735841,20.6611828799369,6.88706095997898,0.12076913069872,9.84067568548721,5.24661490023845,1.74887163341282,0.0306676110605474,38.7526059880552,441.624638374804,147.208212791601,2.5813925553823,0.460390979878807,860.570159097616,286.856719699205,5.03022071018012,0.23626196870828,853.736416721527,284.578805573842,4.99027599205943,0.238153130190672,39.4685278099143,13.1561759366381,0.230702173310231,5.1514462606565
"YZBMY2510Z",2010-11-09,"Kenya","Bamburi",-4.01019,39.73984,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",46135.5,0.9375,0,0,3075.7,0.0625,0,0,49211.2,"Catch",16.4037,2.0188,601,200,0.88255126980001,0.849972602826564,2.04875,25.400625,27.5058523262997,NA,NA,NA,NA,1434.51151154864,478.170503849547,2.91501022439737,0.418776702148222,28.6912006935521,9.56373356451736,0.0583021765239459,20.9381268639276,8.20900863924465,2.73633621308155,0.0166811795673437,73.1805783621732,561.22036636791,187.07345545597,1.14043219098073,1.07041731911451,829.067613255975,276.355871085325,1.68471326294822,0.724597114149388,648.690586358571,216.230195452857,1.31817672879054,0.92608095852332,53.6178085304485,17.8726028434828,0.10895448298446,11.2041132688004
