"TripID","Site","TrapType","FoodDim1","FoodDim2","ConsDim1","ConsDim2"
"UPYTE7863T","Bamburi","Gated",-0.767951800151282,-0.345088469074184,0.515511512196237,-2.13180890537691
"CFENS7810E","Bamburi","Gated",-0.432191455778629,-0.863528382875009,-0.717037762242677,-0.785629168115595
"GPDRA8102J","Bamburi","Gated",-1.1340714621842,-0.0252606071027673,-0.424069291846191,-1.82229906978433
"QQERN0973E","Bamburi","Traditional",0.335193063894706,0.625162771990241,-0.0236355631699085,-0.952725098810948
"CXSLA1664X","Bamburi","Gated",-0.738076625931789,-0.626536400905102,-1.21965608387339,0.589067759100063
"UPNOS5894M","Bamburi","Traditional",-0.888831055055078,-0.207499957298555,0.590841218712597,-1.70016406398656
"JXMAQ3845O","Bamburi","Gated",-0.395799682240416,-1.1014307761806,0.847194301705457,-0.696333550503375
"LZMRW0061M","Bamburi","Traditional",-0.867417674216392,-0.331066049073898,-0.245014186762652,0.116063214827948
"LDYYG4461W","Bamburi","Gated",-0.607975203551882,-0.735692929776538,0.364171717666593,-1.25606755176997
"LHOYC8494X","Bamburi","Traditional",-1.35505633938686,0.119663597953145,-0.105442690408949,-0.748150023686142
"EAMNO2479S","Bamburi","Gated",-1.09893059575138,-0.342920788251462,-0.63394573926995,-0.809350863998568
"ZIQXC3433C","Bamburi","Gated",-0.892154989425219,-0.277294495455052,0.222075763397031,-2.19592488839414
"ZITJV4860W","Bamburi","Gated",-1.32021388726951,0.213971892732342,0.0490674028333608,-2.23372737549103
"BZTMJ2471Y","Bamburi","Gated",0.319760928873204,-2.04732864939869,-0.0686097904479919,0.110782022221071
"EOMZF7731A","Bamburi","Gated",-1.16843174714783,0.0425413236295503,0.293314500099718,-2.18035915841307
"IWJZF5007N","Bamburi","Traditional",-0.913183672453955,-0.165175318210105,0.992831232963488,-1.61232887337906
"TUDWO8664L","Bamburi","Gated",-0.0753405895150231,-1.14319902654911,0.362977478360658,-1.68138334603308
"NEAFL1051T","Bamburi","Gated",-1.17500400707242,0.111307881856541,-0.978194367596692,-1.16838195822699
"FEKUZ6497D","Bamburi","Traditional",-1.02148827025471,-0.236337371032314,0.916217749507856,-1.54233384468186
"KETMJ3895J","Bamburi","Gated",-0.939941891415591,-0.482884332136802,0.657101961172864,-1.93005210710663
"AEUBP7840J","Bamburi","Gated",-0.193446228681169,-1.0595420431434,0.0445235320115061,-0.344616642012825
"MMENX5910M","Bamburi","Gated",-1.09682116457424,-0.0108428750400051,-0.758855746434861,-1.54207022001083
"FFDJF0778G","Bamburi","Gated",-1.24680455791185,0.169312043387883,-0.951805791397595,-1.29487438655973
"NMWHL8008H","Bamburi","Gated",-1.09567747547851,-0.0371803760866412,0.405261086346798,-2.15589872558566
"VWBMG7031P","Bamburi","Gated",-0.79445433759549,-0.33901013706587,-0.435522070664352,-1.44117236326805
"JGWTE7092H","Bamburi","Gated",-0.846231381253182,-0.261546876127081,0.420526529925939,-2.15256321201829
"DFPJR2147D","Bamburi","Traditional",-0.831903603226801,-0.467742504235693,0.301432984012459,-0.502654121753539
"WMYFF1895N","Bamburi","Gated",-0.834903134403989,-0.446534561805198,-0.655713248818593,-0.969799466356478
"MIMBD0849J","Bamburi","Gated",-1.2092911209859,0.0487846873235965,-0.633010597114908,-1.54968651165717
"EVPPA9996J","Bamburi","Gated",-1.09344263966085,-0.0781057697036526,-0.251214316706637,-2.06113776384119
"IXLUT0770C","Bamburi","Gated",-1.2524804852851,0.00928373235385906,-0.55272695717361,-1.10949548095095
"DSPNH7461X","Bamburi","Traditional",-0.676090801334368,-0.96001022473475,1.80143162884434,-0.753106713078136
"FSALM6654N","Bamburi","Gated",-0.157837777885794,-1.30463779277473,0.218259423581409,-1.31054825041596
"SEMEL6551Y","Bamburi","Gated",-1.43930595751694,0.280588720392917,-0.00181740909713092,-2.24484575404894
"CFXOJ9945Y","Bamburi","Gated",-1.1887043035076,0.094395605134884,-1.1690870404619,-0.603111331031808
