"","TripID","GateCode","Site","TrapType","BrowserCt","BrowserMass_g","BrowserCtRatio","BrowserMassRatio","GrazerCt","GrazerMass_g","GrazerCtRatio","GrazerMassRatio","ScraperCt","ScraperMass_g","ScraperCtRatio","ScraperMassRatio","OtherCt","OtherMass_g","OtherCtRatio","OtherMassRatio","KeyHerbivoreCt","KeyHerbivoreMass_g","KeyHerbivoreCtRatio","KeyHerbivoreMassRatio","TotalCt","TotalMass_g"
"1","UAXLK1666I","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,1,80,1,1,0,0,0,0,1,80
"2","ARDWW5500B","T","Bamburi","Traditional",1,300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,300,1,1,1,300
"3","ARDWW5500B","G4","Bamburi","Gated",2,655,0.4,0.651741293532338,0,0,0,0,1,150,0.2,0.149253731343284,2,200,0.4,0.199004975124378,3,805,0.6,0.800995024875622,5,1005
"4","HRVZD9999C","T","Bamburi","Traditional",4,1230,0.571428571428571,0.821643286573146,0,0,0,0,0,0,0,0,3,267,0.428571428571429,0.178356713426854,4,1230,0.571428571428571,0.821643286573146,7,1497
"5","HRVZD9999C","G4","Bamburi","Gated",6,1650,0.666666666666667,0.758620689655172,0,0,0,0,0,0,0,0,3,525,0.333333333333333,0.241379310344828,6,1650,0.666666666666667,0.758620689655172,9,2175
"6","IQNJL8341D","G4","Bamburi","Gated",3,1035,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1035,1,1,3,1035
"7","ONBBP9118M","G4","Bamburi","Gated",2,731,0.4,0.544303797468354,1,192,0.2,0.142963514519732,0,0,0,0,2,420,0.4,0.312732688011914,3,923,0.6,0.687267311988086,5,1343
"8","NYALV0543B","T","Bamburi","Traditional",6,1984,0.666666666666667,0.863284309459577,0,0,0,0,0,0,0,0,3,314.2,0.333333333333333,0.136715690540423,6,1984,0.666666666666667,0.863284309459577,9,2298.2
"9","OROKK8456C","T","Bamburi","Traditional",1,451.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,451.7,1,1,1,451.7
"10","OROKK8456C","G4","Bamburi","Gated",5,1691.1,0.625,0.770608339029392,0,0,0,0,0,0,0,0,3,503.4,0.375,0.229391660970608,5,1691.1,0.625,0.770608339029392,8,2194.5
"11","QVCJH7107H","T","Bamburi","Traditional",2,832.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,832.5,1,1,2,832.5
